,para,equity_curve
1659,"[370, 4.4]",0.8019447494554125
2647,"[590, 4.2]",0.7989226567698662
2467,"[550, 4.2]",0.7945290190254317
2469,"[550, 4.4]",0.7933616825080874
2825,"[630, 4.0]",0.7918609617947873
2606,"[580, 4.6]",0.7900340635752658
3055,"[680, 4.5]",0.7874757909093213
1837,"[410, 4.2]",0.7861343740948304
2553,"[570, 3.8]",0.7857060627079224
1661,"[370, 4.6]",0.7842221123335594
2922,"[650, 4.7]",0.7833815105597518
3778,"[840, 4.8]",0.7815828019601175
3823,"[850, 4.8]",0.7815828019601175
2780,"[620, 4.0]",0.7786031804589408
4229,"[940, 4.9]",0.7778810586344256
1610,"[360, 4.0]",0.7773055756985846
3868,"[860, 4.8]",0.7751572299347232
2871,"[640, 4.1]",0.774595770335816
2424,"[540, 4.4]",0.7718633859830032
1570,"[350, 4.5]",0.7711620144312447
2870,"[640, 4.0]",0.7704395284257153
2957,"[660, 3.7]",0.769064831732154
1657,"[370, 4.2]",0.7684404906536957
2602,"[580, 4.2]",0.7681547334229659
1750,"[390, 4.5]",0.7680169456778759
2776,"[620, 3.6]",0.7673556310102988
4304,"[960, 3.4]",0.7665543668945782
4274,"[950, 4.9]",0.7623409368966485
1438,"[320, 4.8]",0.7604158729560323
4139,"[920, 4.9]",0.7594610848873057
4094,"[910, 4.9]",0.7594610848873057
1839,"[410, 4.4]",0.7589990931835127
3734,"[830, 4.9]",0.7582625366484548
2913,"[650, 3.8]",0.7580499355631847
4349,"[970, 3.4]",0.7546168680470241
2511,"[560, 4.1]",0.7546051705692436
2771,"[620, 3.1]",0.7545989273498628
2966,"[660, 4.6]",0.7530448173144876
4394,"[980, 3.4]",0.7518921622641892
2556,"[570, 4.1]",0.751734123142279
4261,"[950, 3.6]",0.7507722472709508
1660,"[370, 4.5]",0.7506715555459084
4035,"[900, 3.5]",0.7505904332371847
1608,"[360, 3.8]",0.7499294650687336
3913,"[870, 4.8]",0.747945637862623
2235,"[500, 3.5]",0.7470299339417129
2868,"[640, 3.8]",0.7458508547575659
4436,"[990, 3.1]",0.7449351526864401
1753,"[390, 4.8]",0.7430866217036337
2727,"[610, 3.2]",0.7405437041004447
1784,"[400, 3.4]",0.7378343141970297
1883,"[420, 4.3]",0.7344003492776305
2514,"[560, 4.4]",0.7327673533984688
2559,"[570, 4.4]",0.7304649315300565
1072,"[240, 4.2]",0.7303529692762929
1611,"[360, 4.1]",0.7301884075544841
3731,"[830, 4.6]",0.7299170361878842
2781,"[620, 4.1]",0.7281040051201257
3989,"[890, 3.4]",0.7280209835625749
3505,"[780, 4.5]",0.7269504110982175
3945,"[880, 3.5]",0.7269044655005634
2509,"[560, 3.9]",0.7264104418256995
1930,"[430, 4.5]",0.7262940103819086
3855,"[860, 3.5]",0.7262647188926045
2919,"[650, 4.4]",0.7261986921070156
1206,"[270, 4.1]",0.7242885097960714
3224,"[720, 3.4]",0.7241092500204067
4216,"[940, 3.6]",0.7234639441371672
3775,"[840, 4.5]",0.7229133949041009
3820,"[850, 4.5]",0.7229133949041009
3001,"[670, 3.6]",0.7200493689246938
2555,"[570, 4.0]",0.7152141422957565
3776,"[840, 4.6]",0.7126396265065017
2872,"[640, 4.2]",0.7121226901846192
1706,"[380, 4.6]",0.7093925884689796
3359,"[750, 3.4]",0.7030834367077102
2952,"[660, 3.2]",0.6995058053770469
3958,"[880, 4.8]",0.6990089940363126
2510,"[560, 4.0]",0.6974307015851848
3134,"[700, 3.4]",0.696588598474547
1889,"[420, 4.9]",0.6947499555351863
4306,"[960, 3.6]",0.6946187019038154
3779,"[840, 4.9]",0.6907712867206364
1161,"[260, 4.1]",0.6888562564904618
3986,"[890, 3.1]",0.6877176382491544
2603,"[580, 4.3]",0.6859435503535796
3900,"[870, 3.5]",0.6858419709484204
3821,"[850, 4.6]",0.6834147121485211
2459,"[550, 3.4]",0.6825007445039287
3180,"[710, 3.5]",0.6806133570191958
3674,"[820, 3.4]",0.6802617051806101
1751,"[390, 4.6]",0.679910637393811
134,"[30, 4.9]",0.679661868743719
1884,"[420, 4.4]",0.6795511897648775
1699,"[380, 3.9]",0.6787152278868326
2737,"[610, 4.2]",0.6778819699781538
3053,"[680, 4.3]",0.6773759384530273
3824,"[850, 4.9]",0.6766002420660626
851,"[190, 4.6]",0.6720270562088866
2740,"[610, 4.5]",0.6716696273993252
3869,"[860, 4.9]",0.6709607584145691
1295,"[290, 4.0]",0.6693315948483629
1071,"[240, 4.1]",0.6686733518375936
1571,"[350, 4.6]",0.6678020729046313
3866,"[860, 4.6]",0.6677117754834658
3730,"[830, 4.5]",0.66689660297963
2693,"[600, 4.3]",0.6664227036897669
3402,"[760, 3.2]",0.6617053992734936
3914,"[870, 4.9]",0.6610423993052696
2696,"[600, 4.6]",0.6587452507940916
2194,"[490, 3.9]",0.6582353381177216
3235,"[720, 4.5]",0.6576417512810447
2601,"[580, 4.1]",0.6576347441095799
2964,"[660, 4.4]",0.657405034060463
2604,"[580, 4.4]",0.6548058579065682
3595,"[800, 4.5]",0.6541547511956691
3810,"[850, 3.5]",0.6539003308370959
3938,"[880, 2.8]",0.6533254835780927
3550,"[790, 4.5]",0.6530898955635258
1565,"[350, 4.0]",0.6527909549960133
3983,"[890, 2.8]",0.6514480920533465
4079,"[910, 3.4]",0.6502838351283495
2554,"[570, 3.9]",0.6489857408975231
2912,"[650, 3.7]",0.6473179457673272
1795,"[400, 4.5]",0.6469035341672061
3854,"[860, 3.4]",0.6467348726509563
4004,"[890, 4.9]",0.6460234700157103
3959,"[880, 4.9]",0.6460234700157103
1616,"[360, 4.6]",0.6455801243773731
2918,"[650, 4.3]",0.6455340059988709
1619,"[360, 4.9]",0.6450279932023479
3190,"[710, 4.5]",0.6429777180579688
2549,"[570, 3.4]",0.6424790619143146
2733,"[610, 3.8]",0.6423632242410205
2280,"[510, 3.5]",0.6418827828353428
4121,"[920, 3.1]",0.6416921077837286
3145,"[700, 4.5]",0.6410432578622247
3640,"[810, 4.5]",0.6409997690779943
2149,"[480, 3.9]",0.6408078283944796
2646,"[590, 4.1]",0.6406114488466784
1520,"[340, 4.0]",0.6404157961520283
4125,"[920, 3.5]",0.6400424017011528
3280,"[730, 4.5]",0.6397837023237531
3052,"[680, 4.2]",0.6395752912754449
2644,"[590, 3.9]",0.6395615070719696
4260,"[950, 3.5]",0.6391778505472865
2649,"[590, 4.4]",0.6380988183477383
584,"[130, 4.9]",0.6380405589577958
4049,"[900, 4.9]",0.637166424904264
3990,"[890, 3.5]",0.6371112117308011
4169,"[930, 3.4]",0.6370986909853211
4166,"[930, 3.1]",0.636983188967271
3009,"[670, 4.4]",0.6364502948749461
1521,"[340, 4.1]",0.6363913618302208
3179,"[710, 3.4]",0.6347835669226569
4211,"[940, 3.1]",0.6322762389216253
1522,"[340, 4.2]",0.6317792260775726
2599,"[580, 3.9]",0.6301294713320992
1931,"[430, 4.6]",0.6294849810472639
4395,"[980, 3.5]",0.6287486432117481
3371,"[750, 4.6]",0.6279462474943648
583,"[130, 4.8]",0.6252702839245308
1475,"[330, 4.0]",0.6240553262685669
2651,"[590, 4.6]",0.6228353530192267
3098,"[690, 4.3]",0.622694544109908
